"period","stateid","price","sales"
"2018-12","AK",19.83,"539.19117"
"2018-12","AL",9.36,"7186.21551"
"2018-12","AR",7.33,"3872.77283"
"2018-12","AZ",9.94,"5622.10927"
"2018-12","CA",16.11,"19670.89409"
"2018-12","CO",9.78,"4692.93506"
"2018-12","CT",18.8,"2418.75455"
"2018-12","DC",12.6,"902.44273"
"2018-12","DE",10.61,"947.68936"
"2018-12","ENC",10.08,"47425.79185"
"2018-12","ESC",9.26,"25995.56582"
"2018-12","FL",10.36,"17524.68614"
"2018-12","GA",8.29,"11059.42746"
"2018-12","HI",31.43,"750.88916"
"2018-12","IA",7.75,"4370.21753"
"2018-12","ID",8.05,"2061.94216"
"2018-12","IL",9.42,"11775.64426"
"2018-12","IN",10.04,"8621.41042"
"2018-12","KS",10.03,"3253.91678"
"2018-12","KY",8.54,"6481.93532"
"2018-12","LA",7.57,"7229.67572"
"2018-12","MA",18.47,"4411.83937"
"2018-12","MAT",12.04,"31332.00537"
"2018-12","MD",11.73,"5300.4251"
"2018-12","ME",13.89,"1006.40186"
"2018-12","MI",11.3,"8525.98551"
"2018-12","MN",10.02,"5918.77243"
"2018-12","MO",8.78,"6817.92688"
"2018-12","MS",9.26,"3912.86852"
"2018-12","MT",9.04,"1381.86629"
"2018-12","MTN",8.93,"22771.42722"
"2018-12","NC",9.09,"11203.7406"
"2018-12","ND",8.55,"1954.33382"
"2018-12","NE",8.46,"2609.68985"
"2018-12","NEW",17.89,"9891.01381"
"2018-12","NH",17.35,"954.59204"
"2018-12","NJ",13.04,"6051.8333"
"2018-12","NM",8.98,"1993.72634"
"2018-12","NV",7.87,"2864.82851"
"2018-12","NY",13.55,"12434.37111"
"2018-12","OH",9.79,"12591.90421"
"2018-12","OK",7.45,"5137.87685"
"2018-12","OR",8.96,"4601.75876"
"2018-12","PA",10.1,"12845.80097"
"2018-12","PACC",13.02,"32699.57208"
"2018-12","PACN",26.58,"1290.08033"
"2018-12","RI",19.51,"610.14741"
"2018-12","SAT",9.61,"66477.8742"
"2018-12","SC",9.51,"6431.44667"
"2018-12","SD",9.75,"1148.44477"
"2018-12","TN",9.72,"8414.54646"
"2018-12","TX",8.03,"31942.75285"
"2018-12","US",10.21,"312139.71096"
"2018-12","UT",7.58,"2614.44576"
"2018-12","VA",9.3,"10083.5583"
"2018-12","VT",15.36,"489.27858"
"2018-12","WA",8.03,"8426.91923"
"2018-12","WI",10.32,"5910.84746"
"2018-12","WNC",9.04,"26073.30205"
"2018-12","WSC",7.84,"48183.07825"
"2018-12","WV",8.34,"3024.45784"
"2018-12","WY",7.91,"1539.57382"
"2018-11","AK",18.9,"505.7915"
"2018-11","AL",9.52,"6765.90881"
"2018-11","AR",7.36,"3577.78029"
"2018-11","AZ",9.96,"5133.5834"
"2018-11","CA",16.4,"18310.46184"
"2018-11","CO",9.95,"4436.61662"
"2018-11","CT",18.52,"2211.48435"
"2018-11","DC",12.66,"896.96707"
"2018-11","DE",10.81,"878.13143"
"2018-11","ENC",10.17,"44551.03747"
"2018-11","ESC",9.32,"23825.60536"
"2018-11","FL",10.45,"18204.13768"
"2018-11","GA",9.48,"10345.12612"
"2018-11","HI",30.68,"776.63154"
"2018-11","IA",7.99,"4160.89307"
"2018-11","ID",7.81,"1782.00527"
"2018-11","IL",9.78,"10955.87207"
"2018-11","IN",9.9,"8040.40792"
"2018-11","KS",10.29,"3124.92695"
"2018-11","KY",8.61,"5980.96946"
"2018-11","LA",7.55,"6880.40086"
"2018-11","MA",18.05,"4100.58091"
"2018-11","MAT",12.21,"27920.21665"
"2018-11","MD",11.37,"4757.12504"
"2018-11","ME",13.11,"1003.1803"
"2018-11","MI",11.08,"8096.42858"
"2018-11","MN",10.13,"5419.40175"
"2018-11","MO",8.96,"6250.89939"
"2018-11","MS",9.33,"3657.35323"
"2018-11","MT",8.8,"1250.53007"
"2018-11","MTN",8.93,"20954.21979"
"2018-11","NC",8.94,"10467.14633"
"2018-11","ND",8.79,"1825.44605"
"2018-11","NE",8.62,"2408.26865"
"2018-11","NEW",17.47,"9195.3079"
"2018-11","NH",17.21,"852.5757"
"2018-11","NJ",12.69,"5440.9639"
"2018-11","NM",8.94,"1858.66264"
"2018-11","NV",7.7,"2674.40782"
"2018-11","NY",14.12,"11310.72898"
"2018-11","OH",9.9,"11883.4459"
"2018-11","OK",7.48,"4841.83868"
"2018-11","OR",9.06,"4046.56234"
"2018-11","PA",10.04,"11168.52377"
"2018-11","PACC",13.31,"29813.49403"
"2018-11","PACN",26.03,"1282.42304"
"2018-11","RI",18.97,"583.81468"
"2018-11","SAT",9.86,"63295.15275"
"2018-11","SC",9.97,"5819.48001"
"2018-11","SD",9.64,"1029.46551"
"2018-11","TN",9.7,"7421.37387"
"2018-11","TX",8.35,"30150.32157"
"2018-11","US",10.35,"290507.09977"
"2018-11","UT",7.66,"2399.21052"
"2018-11","VA",9.34,"9235.23704"
"2018-11","VT",15.24,"443.67197"
"2018-11","WA",8.02,"7456.46985"
"2018-11","WI",10.61,"5574.88301"
