"id","state_abb","operator","ref","name","sqft","lon","lat","type"
"0002744301","NJ",NA,NA,"Verizon",105786,-74.4965209644757,40.5442555763053,"building"
"0007805491","OH",NA,NA,"Discover Financial Services New Albany",188209,-82.814358086412,40.1006571134469,"building"
"0014930068","NM","Sandia National Laboratories","880","HPC (880)",158463,-106.542822039913,35.049941980749,"building"
"0015884451","NJ","Barclays",NA,"Barclays Datacenter",94373,-74.2854811688022,40.6437530333871,"building"
"0016282459","MD","AiNET",NA,"CyberNAP Glen Burnie",89879,-76.6064311245329,39.1402417071774,"building"
"0025706343","TX","Cyxtera",NA,"Cyxtera Dallas-Fort Worth Data Center",309104,-97.0410416432689,32.8327178957145,"building"
"0028544618","TX","Equinix",NA,"Equinix Infomart",239835,-96.8195105463799,32.800943222987,"building"
"0029827954","MA",NA,"BO1","CoreSite BO1",133960,-71.0797576175632,42.3767058838218,"building"
"0030666790","CA","United States Postal Service",NA,"USPO Terminal Annex",99270,-118.235392936457,34.0581022382473,"building"
"0031250931","OH","CyrusOne","CIN3","CyrusOne Cincinnati-Mason CIN3",82813,-84.3115799999726,39.303895806613,"building"
"0031800424","CA",NA,NA,"LightEdge SAN1",83576,-117.129933946223,32.8278655244569,"building"
"0032560290","CA","NTT","CA2","RagingWire CA2",204702,-121.491946099609,38.6503995314376,"building"
"0032560292","CA","NTT","CA1","RagingWire CA1",192302,-121.4891864725,38.6504318340598,"building"
"0035491576","CA","Equinix","SV1","Equinix SV1",135022,-121.783320125528,37.2415868036679,"building"
"0036897140","OH",NA,NA,NA,13074,-84.4121132134651,39.294048177338,"building"
"0037947313","CA",NA,NA,"OpenColo",65471,-121.955937251655,37.3788162920117,"building"
"0037947314","CA","Equinix","SV2","Equinix Santa Clara SV2",81106,-121.954991880204,37.3784336900802,"building"
"0037947315","CA","Layer42",NA,"Layer42 Santa Clara",25031,-121.954151103043,37.3780399484341,"building"
"0038305431","CA","Digital Realty",NA,"Digital Realty Silicon Valley SJC34",129242,-121.973619487155,37.3723881952325,"building"
"0038305568","CA","Centurylink",NA,NA,92193,-121.969697447381,37.3715190495987,"building"
"0038305611","CA","Vantage",NA,NA,89293,-121.97269293993,37.373385909544,"building"
"0039083797","GA","Flexential",NA,"Flexential Atlanta - Alpharetta Data Center",74814,-84.2517521453551,34.0870052208724,"building"
"0039083830","GA",NA,NA,"Secure Data Center",184012,-84.2508756312706,34.09370761226,"building"
"0040608200","CA","Cologix","SV1","Cologix Santa Clara SV1 Data Center",80686,-121.961700421646,37.3653328095511,"building"
"0042323063","MO",NA,NA,"Netrality Data Centers",23093,-90.197174834978,38.6292615835285,"building"
"0045583050","VA",NA,NA,NA,52906,-77.5105774796251,38.8034145958286,"building"
"0045776978","VA","Amazon Web Services","Amazon IAD11","Amazon IAD11",122474,-77.5411111195495,38.7905000064521,"building"
"0045776979","VA","Amazon Web Services","IAD24","Amazon IAD24",31388,-77.5400063390869,38.7903501517503,"building"
"0045776988","VA","Amazon Web Services","Amazon IAD-7","Amazon IAD7",109423,-77.5382770930115,38.7912037519674,"building"
"0046128119","OH","CyrusOne","CIN2","CyrusOne CIN2",29534,-84.5178975374469,39.1026948603672,"building"
"0046831933","VA","Digital Realty",NA,"VA 4",263538,-77.594876153305,38.7781112687421,"building"
"0048242814","VA","Amazon Web Services","IAD10","Amazon IAD10",112726,-77.4328755813987,39.0216455535984,"building"
"0048242816","VA","Amazon Web Services","IAD32","Amazon IAD32",35700,-77.4347944542267,39.0215693242918,"building"
"0052059176","OR","NTT",NA,"NTT RagingWire Data Center",260339,-122.937392881829,45.5495839922906,"building"
"0052094269","VA","Cyxtera","IAD1-B","Cyxtera Sterling IAD1-B",79070,-77.4151897593312,39.0239073042503,"building"
"0052094270","VA","Cyxtera","IAD1-A","Cyxtera Sterling IAD1-A",89830,-77.4132010228583,39.0233212120759,"building"
"0052094294","VA","Cyxtera","IAD1-C","Cyxtera Sterling IAD1-C",135383,-77.4122036594597,39.024755549908,"building"
"0052227492","MN","Flexential",NA,"Flexential Minneapolis - Chaska",135505,-93.5988312742716,44.8515928711909,"building"
"0052958203","CO",NA,NA,"Pearl Plaza Office Building",48787,-104.979332249352,39.7452303528635,"building"
"0054173383","CA","CoreSite","SV3","CoreSite SV3",57809,-121.971709373226,37.3751420931825,"building"
"0054173753","CA","CoreSite","SV6","CoreSite SV6",61065,-121.97208379973,37.3763018802372,"building"
"0054173755","CA","CoreSite","SV8","CoreSite SV8",41609,-121.971840051098,37.3773826575068,"building"
"0054383196","CA","CoreSite","SV5","CoreSite SV5",50856,-121.970689792807,37.3751960985462,"building"
"0054383197","CA","CoreSite","SV9","CoreSite SV9",60403,-121.969609970025,37.375558515806,"building"
"0059294476","VA","Stack Infrastructure","NVA01A","STACK NVA01A - Northern Virginia",179330,-77.4417640679728,39.0046991512088,"building"
"0063619642","MN",NA,NA,"Minnesota Gateway Data Center",87697,-93.2546518680506,44.9713018522309,"building"
"0069827429","NY",NA,NA,"IBM Building",15355,-73.7527452452726,42.6493530748759,"building"
"0071187940","MI","Verizon Wireless","DTRT.PP2",NA,24933,-83.0769860576079,42.3262663823638,"building"
"0079056848","NH","University of New Hampshire",NA,NA,30553,-70.9524726306914,43.1436185229616,"building"
"0079158387","VA","Digital Realty","VA3","VA3",95304,-77.327284369181,38.9484459649011,"building"
"0079159494","VA","Evocative","IAD1","IAD1",19325,-77.3294099725548,38.948816283786,"building"
"0079298926","VA",NA,NA,"CoreSite Reston Campus VA1",138035,-77.3645475951218,38.9505858844876,"building"
"0079818498","VA","CoreSite",NA,"CoreSite Reston VA3",249707,-77.3723698005356,38.9484675669556,"building"
"0089784186","CO",NA,NA,"Insurance Exchange Building",19807,-104.995691074545,39.7455717849654,"building"
"0093210344","MD","Lincoln Rackhouse",NA,"Lincoln Rackhouse Maryland",146301,-76.9643217094945,39.0585628756229,"building"
"0095349317","OH",NA,NA,"CyrusOne Cincinnati-Lebanon",198403,-84.2218753368632,39.3890187444458,"building"
"0095782052","NJ","Equinix","NY7","Equinix NY7 Data Center",68650,-74.0311408430872,40.7968636651224,"building"
"0099813512","CA","Equinix","SV4","Equinix SV4",122369,-122.014579538322,37.4145643140678,"building"
"0104082694","IA",NA,NA,"Aureon",11253,-93.6310093477604,41.5879989656989,"building"
"0109458128","NY","Sabey Data Centers",NA,"Intergate Manhattan",31710,-74.0012044311589,40.7108887050737,"building"
"0116005354","NC",NA,NA,NA,564402,-81.2625268778291,35.5880126378418,"building"
"0122665255","CT","Digital Realty","HVN10","Digital Realty New York HVN10",134982,-73.1472994154684,41.2408459713759,"building"
"0124088810","IL",NA,NA,"Lincoln Rackhouse",70123,-88.2170908683173,41.7721648046318,"building"
"0128499684","IL","Digital Realty","CH1","Digital Realty CH1",469756,-87.9621721611606,41.9942374288397,"building"
"0131891022","AZ",NA,NA,"Iron Mountain Records Storage",145832,-112.041325780203,33.4203800263691,"building"
"0132746406","CA","Equinix","SV8","Equinix SV8",12601,-122.160776464349,37.4458969482469,"building"
"0138260136","IL",NA,NA,"NCSA Petascale Computing Facility",45620,-88.2420314008415,40.0952591072561,"building"
"0138643160","OH",NA,NA,"LexisNexus Springfield",79937,-83.7237614156272,39.9127800836358,"building"
