"stateid","price_difference"
"AK",2.42
"AL",2.2
"AR",0.779999999999999
"AZ",1.88
"CA",8.64
"CO",1.75
"CT",3.71
"DE",3.99
"FL",1.04
"GA",1.6
"HI",2.02999999999999
"IA",0.449999999999999
"ID",1.46
"IL",3.2
"IN",1.97
"KS",0.850000000000001
"KY",0.799999999999999
"LA",0.0499999999999989
"MA",5.17
"MD",5.22
"ME",9.22
"MI",1.72
"MN",1.16
"MO",1.7
"MS",2.02
"MT",1.4
"NC",3.27
"ND",-0.0800000000000001
"NE",0.880000000000001
"NH",4.22
"NJ",4.56
"NM",-0.65
"NV",0.43
"NY",4.78
"OH",3.38
"OK",0.540000000000001
"OR",2.22
"PA",4.41
"RI",7.69
"SC",1.85
"SD",1.03
"TN",1
"TX",1.51
"UT",2.15
"VA",2.22
"VT",3.36
"WA",2.53
"WI",1.58
"WV",2.14
"WY",1.78
