"period","stateid","price","sales"
"2025-12","AK",22.75,"601.07865"
"2025-12","AL",12.71,"7279.29847"
"2025-12","AR",9.51,"4281.38017"
"2025-12","AZ",12.25,"6398.1012"
"2025-12","CA",28.18,"18676.06776"
"2025-12","CO",12.69,"4617.37115"
"2025-12","CT",23.57,"2602.21197"
"2025-12","DE",14.71,"1072.66834"
"2025-12","FL",13.07,"18478.09193"
"2025-12","GA",11.6,"12505.6898"
"2025-12","HI",37.12,"775.58326"
"2025-12","IA",8.94,"5228.48964"
"2025-12","ID",9.63,"2144.09396"
"2025-12","IL",13.36,"11777.30065"
"2025-12","IN",12.58,"9110.0413"
"2025-12","KS",11.21,"3346.56163"
"2025-12","KY",10.68,"6608.5038"
"2025-12","LA",9.28,"7655.0717"
"2025-12","MA",26.72,"4667.79675"
"2025-12","MD",17.68,"5753.84827"
"2025-12","ME",24.57,"906.77897"
"2025-12","MI",14.77,"8566.90591"
"2025-12","MN",12.21,"5869.23817"
"2025-12","MO",10.4,"6981.02711"
"2025-12","MS",11.65,"3878.82091"
"2025-12","MT",10.7,"1359.82673"
"2025-12","NC",11.67,"12305.38679"
"2025-12","ND",8.12,"2806.50787"
"2025-12","NE",9,"3389.88594"
"2025-12","NH",23.3,"1020.91704"
"2025-12","NJ",18.75,"6474.06098"
"2025-12","NM",8.69,"2662.24859"
"2025-12","NV",9.61,"2947.41836"
"2025-12","NY",21.93,"12246.04473"
"2025-12","OH",13.23,"14422.86875"
"2025-12","OK",8.99,"6051.87268"
"2025-12","OR",11.38,"5564.1807"
"2025-12","PA",15.33,"13258.47659"
"2025-12","RI",28.01,"624.03667"
"2025-12","SC",11.91,"6936.41383"
"2025-12","SD",10.89,"1253.4289"
"2025-12","TN",11.21,"8922.52178"
"2025-12","TX",10.31,"38909.59914"
"2025-12","UT",10.19,"2856.5348"
"2025-12","VA",12.07,"13124.16625"
"2025-12","VT",20.16,"522.68162"
"2025-12","WA",11.46,"8445.81793"
"2025-12","WI",13.24,"6124.38785"
"2025-12","WV",11.41,"3214.62264"
"2025-12","WY",9.57,"1512.61555"
